sheet,sheet_state,cell,names,formula,status,implemented_in
Income Details,visible,AN145,IncD.Section80DDB_Calc,"IF(ISERROR(IncdSection80DD),0,IncdSection80DD)",TO_IMPLEMENT,
Income Details,visible,AN147,IncD.Section80E_Calc,"MIN(VALUE(IncD.Section80E),TOTAL_INCOME)",TO_IMPLEMENT,
Income Details,visible,AN148,IncD.Section80EE_Calc,"MIN(MIN(VALUE(IncD.Section80EE),TOTAL_INCOME),50000)",TO_IMPLEMENT,
Income Details,visible,AN149,IncD.Section80EEA_Calc,"MIN(MIN(VALUE(IncD.Section80EEA),TOTAL_INCOME),150000)",TO_IMPLEMENT,
Income Details,visible,AN150,IncD.Section80EEB_Calc,"MIN(MIN(VALUE(IncD.Section80EEB),TOTAL_INCOME),150000)",TO_IMPLEMENT,
Income Details,visible,AB151,IncD.Section80G,"IF(BacValue=1,0,MIN(TOTAL_INCOME,Per5080G.TotalEligibleDonationsUs80G))",TO_IMPLEMENT,
Income Details,visible,AN151,IncD.Section80G_Calc,IncD.Section80G,TO_IMPLEMENT,
Income Details,visible,AN152,IncD.Section80GG_Calc,"MIN(MIN(ROUND(MIN(IF(HRA>0,55000,60000), 0.25*(MAX(0,TOTAL_INCOME-(SUM(AN115:AW151)+SUM(AN154:AW161)+0)))),0),VALUE(IncD.Section80GG)),TOTAL_INCOME)",TO_IMPLEMENT,
Income Details,visible,AB154,IncD.Section80GGA,"IF(BacValue=1,0,Total_Donation_80GGA)",TO_IMPLEMENT,
Income Details,visible,AN154,IncD.Section80GGA_Calc,"IF(BacValue=1,0,Total_Donation_Eligible_80GGA)",TO_IMPLEMENT,
Income Details,visible,AB155,IncD.Section80GGC,"IF(BacValue=1,0,Total_Donation_80GGC)",TO_IMPLEMENT,
Income Details,visible,AN155,IncD.Section80GGC_Calc,"IF(BacValue=1,0,Total_Donation_Eligible_80GGC)",TO_IMPLEMENT,
Income Details,visible,AN158,IncD.Section80TTA_Calc,"MIN(MIN(VALUE(IncD.Section80TTA),10000),MAX(0,MIN(TOTAL_INCOME,MAX(0,tta))))",TO_IMPLEMENT,
Income Details,visible,BD158,tta,SUM(Others.Amount_2_3),TO_IMPLEMENT,
Income Details,visible,AN159,IncD.Section80TTB_Calc,"MIN(MIN(VALUE(IncD.Section80TTB),50000),MAX(0,MIN(TOTAL_INCOME,MAX(0,ttb))))",TO_IMPLEMENT,
Income Details,visible,BD159,ttb,"SUM(Others.Amount_2_4,Others.Amount_2_5)",TO_IMPLEMENT,
Income Details,visible,AB160,IncD.Section80U,"IF(BacValue=1,0,Amtdeduction_80U)",TO_IMPLEMENT,
Income Details,visible,AN160,IncD.Section80U_Calc,"IF(BacValue=1,0,IncD.Section80U)",TO_IMPLEMENT,
Income Details,visible,BG160,,"MID(Naturedisability_80U_v1,1,1)",TO_IMPLEMENT,
Income Details,visible,BH160,,"IF(BG160=""1"",75000,IF(BG160=""2"",125000,0))",TO_IMPLEMENT,
Income Details,visible,AN161,IncD.AnyOtherDeductions_Calc,"IF(IncD.AnyOtherDeductions>0,MIN(IncD.AnyOtherDeductions,MIN((ROUND(IncD.Allowances*46.2/100,0)),288000)),0)",TO_IMPLEMENT,
Income Details,visible,BG161,,"MID(SELECT80U,1,1)",TO_IMPLEMENT,
Income Details,visible,BH161,,"IF(BG161=""1"",75000,IF(BG161=""2"",125000,0))",TO_IMPLEMENT,
Income Details,visible,AB163,IncD.TotalChapVIADeductions_Input,"SUM(AB115:AM116,IncD.Section80CCD_SE,IncD.Section80CCD1B_SE,AB137:AM152,AB154:AM161)",TO_IMPLEMENT,
Income Details,visible,AO163,IncD.TotalChapVIADeductions,"ROUND(MAX(MIN(MIN(IncD.TotalChapVIADeductions_Input,SUM(AN115:AW116,IncD.Section80CCD_Calc_SE,IncD.Section80CCD1B_Calc_SE,AN137:AW152,AN154:AW161)),IncD.GrossTotIncome),0),0)",TO_IMPLEMENT,
Income Details,visible,AO164,IncD.TotalIncome,"ROUND(MAX(0,IncD.GrossTotIncome-IncD.TotalChapVIADeductions),-1)",TO_IMPLEMENT,
Income Details,visible,AO165,IncD.TotalIncome_New,"ROUND(MAX(0,IncD.GrossTotIncome_New-IncD.TotalChapVIADeductions),-1)",TO_IMPLEMENT,
Income Details,visible,F169,,F168+1,TO_IMPLEMENT,
Income Details,visible,BA169,grosssalandexemptincome_hidden,"SUMIF(Others.NOI,""Sec 10(11) Statutory Provident Fund received"",Others.Amount) + SUMIF(Others.NOI,""Sec 10(12) Recognized Provident Fund received"",Others.Amount) + SUMIF(Others.NOI,""Sec 10(13) Approved superannuation fund received"",Others.Amount) + SUMIF(Others.NOI,""Sec 10(18) Pension received by winner of  """"Param Vir Chakra"""" or """"Maha Vir Chakra"""" or """"Vir Chakra"""" or such other gallantry award""",TO_IMPLEMENT,
Income Details,visible,BB169,grossSalary_exempt_familyPension,SUM(grosssalandexemptincome_hidden+TotFamilyPension),TO_IMPLEMENT,
Income Details,visible,AO171,ExemptIncomeTotal,SUM(Others.Amount),TO_IMPLEMENT,
Income Details,visible,AO175,IncD.CG_LTCG,"IF((MAX(0,(IncD.Sale_LTCG-IncD.Cost_LTCG)))>125000,0,MAX(0,(IncD.Sale_LTCG-IncD.Cost_LTCG)))",TO_IMPLEMENT,
Income Details,visible,AO177,IncD.Rebate87A,"IF(BacValue=2,IF((IncD.TotalIncome_New)<=500000,MIN(IncD.TotalTaxPayable,12500),0),IF(BacValue=1,IF((IncD.TotalIncome)<=1200000,MIN(IncD.TotalTaxPayable,60000),IF((IncD.TotalTaxPayable>(IncD.TotalIncome-1200000)),(IncD.TotalTaxPayable-(IncD.TotalIncome-1200000)),0)),0))",TO_IMPLEMENT,
Income Details,visible,BG177,,"IF(BacValue=2,IF((IncD.TotalIncome)<=500000,MIN(IncD.TotalTaxPayable,12500),0),IF(BacValue=1,IF((IncD.TotalIncome)<=700000,MIN(IncD.TotalTaxPayable,25000),IF((IncD.TotalTaxPayable>(IncD.TotalIncome-700000)),(IncD.TotalTaxPayable-(IncD.TotalIncome-700000)),0)),0))",TO_IMPLEMENT,
Income Details,visible,AO178,IncD.TaxPayableOnRebate,"ROUND(IncD.TotalTaxPayable-IncD.Rebate87A,0)",TO_IMPLEMENT,
Income Details,visible,AO180,IncD.EducationCess,"ROUND((IncD.TaxPayableOnRebate)*0.04,0)",TO_IMPLEMENT,
Income Details,visible,AO181,IncD.GrossTaxLiability,"ROUND(IncD.TaxPayableOnRebate+IncD.EducationCess,0)",TO_IMPLEMENT,
